politica,patron,capacidad,hit_rate,miss_rate,replacements
LRU,secuencial,4,0.0,100.0,996.0
FIFO,secuencial,4,0.0,100.0,996.0
Random,secuencial,4,0.0,100.0,996.0
LRU,aleatorio,4,19.12,80.88,804.8
FIFO,aleatorio,4,19.04,80.96,805.6
Random,aleatorio,4,19.26,80.74,803.4
LRU,localidad,4,99.7,0.3,0.0
FIFO,localidad,4,99.7,0.3,0.0
Random,localidad,4,99.7,0.3,0.0
LRU,mixto,4,63.27,36.73,363.3
FIFO,mixto,4,56.87,43.13,427.3
Random,mixto,4,57.26,42.74,423.4
LRU,secuencial,8,0.0,100.0,992.0
FIFO,secuencial,8,0.0,100.0,992.0
Random,secuencial,8,0.0,100.0,992.0
LRU,aleatorio,8,38.51,61.49,606.9
FIFO,aleatorio,8,38.73,61.27,604.7
Random,aleatorio,8,38.77,61.23,604.3
LRU,localidad,8,99.7,0.3,0.0
FIFO,localidad,8,99.7,0.3,0.0
Random,localidad,8,99.7,0.3,0.0
LRU,mixto,8,81.14,18.86,180.6
FIFO,mixto,8,74.52,25.48,246.8
Random,mixto,8,74.61,25.39,245.9
LRU,secuencial,16,0.0,100.0,984.0
FIFO,secuencial,16,0.0,100.0,984.0
Random,secuencial,16,0.0,100.0,984.0
LRU,aleatorio,16,78.4,21.6,200.0
FIFO,aleatorio,16,77.92,22.08,204.8
Random,aleatorio,16,78.85,21.15,195.5
LRU,localidad,16,99.7,0.3,0.0
FIFO,localidad,16,99.7,0.3,0.0
Random,localidad,16,99.7,0.3,0.0
LRU,mixto,16,92.63,7.37,57.7
FIFO,mixto,16,91.61,8.39,67.9
Random,mixto,16,91.96,8.04,64.4
