politica,patron,capacidad,hit_rate,miss_rate,amat_ns
FIFO,aleatorio,4,19.04,80.96,17.192
FIFO,aleatorio,8,38.73,61.27,13.254
FIFO,aleatorio,16,77.92,22.08,5.416
LRU,aleatorio,4,19.12,80.88,17.176
LRU,aleatorio,8,38.51,61.49,13.298
LRU,aleatorio,16,78.4,21.6,5.32
Random,aleatorio,4,19.16,80.84,17.168
Random,aleatorio,8,38.98,61.02,13.204
Random,aleatorio,16,78.54,21.46,5.292
FIFO,localidad,4,99.7,0.3,1.06
FIFO,localidad,8,99.7,0.3,1.06
FIFO,localidad,16,99.7,0.3,1.06
LRU,localidad,4,99.7,0.3,1.06
LRU,localidad,8,99.7,0.3,1.06
LRU,localidad,16,99.7,0.3,1.06
Random,localidad,4,99.7,0.3,1.06
Random,localidad,8,99.7,0.3,1.06
Random,localidad,16,99.7,0.3,1.06
FIFO,mixto,4,56.87,43.13,9.626
FIFO,mixto,8,74.52,25.48,6.096
FIFO,mixto,16,91.61,8.39,2.678
LRU,mixto,4,63.27,36.73,8.346
LRU,mixto,8,81.14,18.86,4.772
LRU,mixto,16,92.63,7.37,2.474
Random,mixto,4,57.23,42.77,9.554
Random,mixto,8,73.96,26.04,6.208
Random,mixto,16,92.16,7.84,2.568
FIFO,secuencial,4,0.0,100.0,21.0
FIFO,secuencial,8,0.0,100.0,21.0
FIFO,secuencial,16,0.0,100.0,21.0
LRU,secuencial,4,0.0,100.0,21.0
LRU,secuencial,8,0.0,100.0,21.0
LRU,secuencial,16,0.0,100.0,21.0
Random,secuencial,4,0.0,100.0,21.0
Random,secuencial,8,0.0,100.0,21.0
Random,secuencial,16,0.0,100.0,21.0
