Política,Patrón,Hit Rate (\%),Miss Rate (\%),Reemplazos
FIFO,aleatorio,19.04,80.96,805.6
FIFO,estacional,93.0,7.0,66.0
FIFO,exponencial,84.06,15.94,155.4
FIFO,localidad,99.7,0.3,0.0
FIFO,localidad_pesada,75.03,24.97,245.7
FIFO,mixto,56.87,43.13,427.3
FIFO,mixto_ordenado,75.3,24.7,243.0
FIFO,repeticiones,15.14,84.86,844.6
FIFO,secuencial,0.0,100.0,996.0
FIFO,secuencial_circular,0.0,100.0,996.0
FIFO,uniforme,20.2,79.8,794.0
LRU,aleatorio,19.12,80.88,804.8
LRU,estacional,93.0,7.0,66.0
LRU,exponencial,88.58,11.42,110.2
LRU,localidad,99.7,0.3,0.0
LRU,localidad_pesada,79.49,20.51,201.1
LRU,mixto,63.27,36.73,363.3
LRU,mixto_ordenado,75.36,24.64,242.4
LRU,repeticiones,15.21,84.79,843.9
LRU,secuencial,0.0,100.0,996.0
LRU,secuencial_circular,0.0,100.0,996.0
LRU,uniforme,20.27,79.73,793.3
Random,aleatorio,19.16,80.84,804.4
Random,estacional,87.93,12.07,116.7
Random,exponencial,83.95,16.05,156.5
Random,localidad,99.7,0.3,0.0
Random,localidad_pesada,75.18,24.82,244.2
Random,mixto,57.23,42.77,423.7
Random,mixto_ordenado,75.17,24.83,244.3
Random,repeticiones,16.29,83.71,833.1
Random,secuencial,0.0,100.0,996.0
Random,secuencial_circular,0.45,99.55,991.5
Random,uniforme,20.02,79.98,795.8
